MergedCellType	cell_type	data_source	feature_DHS	feature_ATAC	feature_H3K27ac	default_accessibility_feature	hic_cell_type	RNA_tpm_file	genome	ABCPredictionsForGWAS	nEnhancers	ABCEnhancers	Neighborhoods	Predictions	bedpe
body of pancreas	body_of_pancreas-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/body_of_pancreas-ENCODE/ENCFF231LYE.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/body_of_pancreas-ENCODE/ENCFF497UHH.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/body_of_pancreas-ENCODE/Pancreas-ENCFF112OLQ.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/body_of_pancreas-ENCODE/Pancreas-ENCFF348WZH.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/body_of_pancreas-ENCODE/Pancreas-ENCFF524LVZ.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/body_of_pancreas-ENCODE/Pancreas-ENCFF815MRL.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/body_of_pancreas-ENCODE/ENCFF039JZT.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/body_of_pancreas-ENCODE/ENCFF353UBN.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/body_of_pancreas-ENCODE/ENCFF683HLQ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/body_of_pancreas-ENCODE/ENCFF864OUU.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/body_of_pancreas-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/body_of_pancreas-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/body_of_pancreas-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/body_of_pancreas-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
breast epithelium	breast_epithelium-ENCODE	ENCODE		/oak/stanford/groups/engreitz/ABC_inputs/breast_epithelium-ENCODE/BreastEpithelium-ENCFF011MBI.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/breast_epithelium-ENCODE/BreastEpithelium-ENCFF210QPG.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/breast_epithelium-ENCODE/BreastEpithelium-ENCFF488ELU.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/breast_epithelium-ENCODE/ENCFF570OTY.tagAlign.gz	ATAC	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/breast_epithelium-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/breast_epithelium-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/breast_epithelium-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/breast_epithelium-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
brite adipose	brite_adipose-Loft2014	Loft2014	/oak/stanford/groups/engreitz/ABC_inputs/brite_adipose-Loft2014/DHS-hMADS-brite.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/brite_adipose-Loft2014/	/oak/stanford/groups/engreitz/ABC_inputs/brite_adipose-Loft2014/H3K27ac-hMADS-brite.sorted.unique_alignment.bam	DHS	average	/seq/lincRNA/RAP/External/Loft2014-Adipocyte//RNA/RNASeq-hMADS-brite/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/brite_adipose-Loft2014/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/brite_adipose-Loft2014/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/brite_adipose-Loft2014/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/brite_adipose-Loft2014/Predictions_AvgHiC//EnhancerPredictions.bedpe
cardiac muscle cell	cardiac_muscle_cell-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/cardiac_muscle_cell-ENCODE/ENCFF001BBQ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/cardiac_muscle_cell-ENCODE/ENCFF001DAO.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/cardiac_muscle_cell-ENCODE/ENCFF001DAQ.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/cardiac_muscle_cell-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/cardiac_muscle_cell-ENCODE/ENCFF046PRU.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/cardiac_muscle_cell-ENCODE/ENCFF328PWM.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF697CSN.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF995SUL.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF567TYG.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF251LSG.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/cardiac_muscle_cell-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/cardiac_muscle_cell-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/cardiac_muscle_cell-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/cardiac_muscle_cell-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte	CD14-positive_monocyte-ENCODE	ENCODE-Corces16	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte-ENCODE/ENCFF048LIF.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte-ENCODE/ENCFF128JSW.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte-ENCODE/ENCFF651DEE.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte-ENCODE/Mono-7.merge.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte-ENCODE/ENCFF452ZIB.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte-ENCODE/ENCFF615XCI.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte-ENCODE/ENCFF643HON.tagAlign.gz	DHS	Mon	/seq/lincRNA/RAP/External/Corces2016-ATAC/RNAseq/Mono.TPM.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/Monocyte_d0_6085/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/Monocyte_d0_6708/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/Monocyte_d0_don73_10833/symbol.tpm.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF248RZF.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF081MXC.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF669GZO.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte	CD14-positive_monocyte-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte-Novakovic2016/ATAC_Mono_8444.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte-Novakovic2016/d0_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte-Novakovic2016/d0_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Corces2016-ATAC/RNAseq/Mono.TPM.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/Monocyte_d0_6085/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/Monocyte_d0_6708/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/Monocyte_d0_don73_10833/symbol.tpm.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF248RZF.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF081MXC.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF669GZO.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte treated with BG 1h	CD14-positive_monocyte_treated_with_BG_1h-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_1h-Novakovic2016/ATAC_BG_1h_8447.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_1h-Novakovic2016/BG_1h_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_1h-Novakovic2016/BG_1h_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_1h_6087/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_1h_6711/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_1h-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_1h-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_1h-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_1h-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte treated with BG 4h	CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016/ATAC_BG_4h_8450.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016/BG_4h_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016/BG_4h_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_4h_6090/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_4h_6714/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_4h_don73_10836/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte treated with BG d1	CD14-positive_monocyte_treated_with_BG_d1-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_d1-Novakovic2016/ATAC_BG_d1_8453.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_d1-Novakovic2016/BG_d1_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_d1-Novakovic2016/BG_d1_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_d1_6093/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_d1_6717/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_d1-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_d1-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_d1-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_d1-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte treated with BG d6	CD14-positive_monocyte_treated_with_BG_d6-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_d6-Novakovic2016/ATAC_BG_d6_8456.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_d6-Novakovic2016/BG_d6_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_BG_d6-Novakovic2016/BG_d6_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_d6_6096/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_d6_6720/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_d6_8748/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_d6_8753/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/BG_d6_9245/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_d6-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_d6-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_d6-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_BG_d6-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte treated with LPS 1h	CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016/ATAC_LPS_1h_8446.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016/LPS_1h_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016/LPS_1h_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_1h_6088/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_1h_6710/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte treated with LPS 4h	CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016/ATAC_LPS_4h_8449.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016/LPS_4h_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016/LPS_4h_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_4h_6091/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_4h_6713/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_4h_don73_10835/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte treated with LPS d1	CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016/ATAC_LPS_d1_8452.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016/LPS_d1_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016/LPS_d1_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_d1_6094/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_d1_6716/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte treated with LPS d6	CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/ATAC_LPS_d6_8455.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/don73_LPS_d6_24hr_BG_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/don73_LPS_d6_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/don74_LPS_d6_24hr_BG_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/don74_LPS_d6_co_iBET_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/don74_LPS_d6_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/LPS_d6_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/LPS_d6_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_d6_6097/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_d6_6719/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_d6_8747/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_d6_9244/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/LPS_d6_don70_10649/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte treated with RPMI 1h	CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016/ATAC_RPMI_1h_8445.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016/RPMI_1h_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016/RPMI_1h_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_1h_6086/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_1h_6709/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
